Order,Brüt m²,Net m²,Rooms,Bath,Floors,Floor Location,Building Age,Heating Type,Furniture,Using Status,Building Status,Housing Type,Rent Earning,From,Suitable for Credit,Price,Coord1,Coord2,Street,District,Location3,Due Price,Suitable for exchange
6540,90,80,2+1,1,9,5,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1500,Danışman,Evet,450000,41.08459876,28.93851599,Çırçır,Eyüpsultan, İstanbul,0,
6541,85,70,2+1,1,9,3,4,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,,,0,,Evet,330000,41.10366075,28.76872915,Kayabaşı,Başakşehir, İstanbul,0,
6542,75,72,2+1,1,9,Kot 1,6-10 arası,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,,,0,,Evet,213000,41.0964729,28.76201423,Kayabaşı,Başakşehir, İstanbul,0,
6543,115,90,2+1,1,10-20 arası,7,2,Merkezi Sistem,Eşyasız,Boş,İkinci El,Ara Kat,,İnşaat Geliştirici,Evet,470000,41.00820142,28.68224931,Zafer,Esenyurt, İstanbul,,
6544,115,110,2+1,1,1,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,,,0,,Evet,239000,41.10238176,28.86498848,Uğur Mumcu,Sultangazi, İstanbul,0,Evet
6545,135,130,1+1,1,,2,4,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Evet,980000,41.04527317,28.81433942,Mahmutbey,Bağcılar, İstanbul,,
6546,100,95,2+1,1,5,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,1000,Danışman,Evet,180000,41.10123508,28.91149255,Zübeyde Hanım,Sultangazi, İstanbul,,
6547,142,130,2+1,0,6,3,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,115000,41.01908929,28.68958314,İncirtepe,Esenyurt, İstanbul,0,Evet
6548,85,85,2+1,2,9,5,4,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,,0,,Evet,300000,41.11935163,28.73689603,Şamlar,Başakşehir, İstanbul,0,
6549,90,80,2+1,1,7,Giriş Katı,31-35 arası,Kombi (Doğalgaz),,Mülk Sahibi,İkinci El,Giriş Kat,,Danışman,Evet,950000,41.08776365,29.03326141,Etiler,Beşiktaş, İstanbul,100,
6550,100,95,2+1,1,6,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,İnşaat Geliştirici,Evet,178000,41.0456226,28.66578364,Selahaddin Eyyubi,Esenyurt, İstanbul,,Evet
6551,80,75,2+1,1,6,2,40 ve üzeri,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,,2750,,Evet,590000,41.05698799,28.98570073,Merkez,Şişli, İstanbul,150,
6552,70,65,2+1,1,4,Giriş Katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1000,,Evet,265000,41.01517284,29.0946315,Esenevler,Ümraniye, İstanbul,25,
6553,130,120,2+1,2,8,4,6-10 arası,Kombi (Doğalgaz),,Boş,,Ara Kat,1500,Danışman,Evet,498000,40.98780773,28.65790355,Kavaklı,Beylikdüzü, İstanbul,274,Evet
6554,90,89,2+1,2,3,Bahçe katı,5,Kombi (Doğalgaz),Eşyasız,Boş,,,,,Evet,205000,40.98052073,28.71320073,Ambarlı,Avcılar, İstanbul,15,
6555,210,190,3+2,2,5,5,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Dubleks,,Danışman,Evet,620000,40.99088097,28.62596621,Adnan Kahveci,Beylikdüzü, İstanbul,150,
6556,85,70,2+1,1,5,Bahçe katı,26-30 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Bahçe Katı,1100,Danışman,Hayır,93000,41.00208698,28.84805614,Şirinevler,Bahçelievler, İstanbul,,
6557,130,125,3+1,2,5,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Evet,235000,41.00498255,28.66726231,Yakuplu,Beylikdüzü, İstanbul,,Evet
6558,130,120,3+1,1,6,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,,Danışman,Evet,225000,41.0390441,28.66182463,Pınar,Esenyurt, İstanbul,,Evet
6559,130,120,2+1,2,5,1,6-10 arası,Kombi (Doğalgaz),Sadece Beyaz Eşya,Kiracılı,,Ara Kat,0,Danışman,Evet,640000,41.18294745,28.88762299,Göktürk Merkez,Eyüpsultan, İstanbul,0,
6560,120,80,2+1,1,10-20 arası,12,0,Merkezi Sistem (Isı Payı Ölçer),Sadece Beyaz Eşya,Boş,Sıfır,Ara Kat,,Danışman,Evet,870000,40.96763397,29.09066299,Kozyatağı,Kadıköy, İstanbul,,
6561,145,125,3+1,1,5,1,21-25 arası,Kalorifer (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,,Danışman,Evet,620000,40.9940252,28.90727234,Gökalp,Zeytinburnu, İstanbul,,
6562,105,104,2+1,1,5,Bahçe katı,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Bahçe Katı,650,Danışman,Evet,168000,41.10134519,28.89820576,Yunus Emre,Sultangazi, İstanbul,0,Evet
6563,120,119,2+1,2,10-20 arası,4,4,Klima,Eşyalı (Mobilyalı),Kiracılı,İkinci El,Ara Kat,0,Danışman,Evet,580000,41.00432975,29.13170542,Tatlısu,Ümraniye, İstanbul,0,Evet
6564,65,50,1+1,1,10-20 arası,Bahçe katı,1,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,Bahçe Katı,0,Danışman,Evet,565000,40.98258537,29.05251684,Feneryolu,Kadıköy, İstanbul,0,
6565,150,149,3+1,1,6,Kot 2,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,3000,Danışman,Evet,750000,40.99020809,28.77853096,Cennet,Küçükçekmece, İstanbul,330,
6566,105,95,2+1,1,5,Yüksek Giriş,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Giriş Kat,,Danışman,Evet,205000,41.10346797,28.89989878,Gazi,Sultangazi, İstanbul,,Evet
6567,95,85,2+1,1,5,Giriş Katı,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Giriş Kat,,Danışman,Evet,320000,41.05730149,28.92828231,Karlıtepe,Gaziosmanpaşa, İstanbul,,
6568,125,124,3+1,1,9,Yüksek Giriş,16-20 arası,Kombi (Doğalgaz),Eşyasız,Boş,,,0,,Evet,435000,41.10658492,28.78430274,Başakşehir,Başakşehir, İstanbul,0,
6569,118,117,2+1,1,5,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,,900,,Evet,300000,41.18252938,28.75006814,Anadolu,Arnavutköy, İstanbul,0,Evet
6570,180,115,3+1,2,10-20 arası,8,1,Merkezi Sistem (Isı Payı Ölçer),Sadece Beyaz Eşya,Boş,Sıfır,Ara Kat,6500,Danışman,Evet,1850000,40.96833718,29.07113138,Erenköy,Kadıköy, İstanbul,200,
6571,85,84,2+1,1,4,3,0,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,0,Danışman,Evet,405000,40.93705335,29.13063526,Altayçeşme,Maltepe, İstanbul,30,
6572,80,56,1+1,1,9,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Yapım Aşamasında,Ara Kat,1700,,Evet,299000,41.06289034,28.95860178,Mehmet Akif Ersoy,Kağıthane, İstanbul,0,
6573,100,90,2+1,1,5,2,21-25 arası,Kombi (Doğalgaz),,Kiracılı,,,,,Hayır,225000,41.02777427,28.84432219,Kazım Karabekir,Bağcılar, İstanbul,,
6574,200,179,4+2,3,5,5,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Çatı Dubleksi,2500,Danışman,Evet,875000,41.03380638,29.07486757,Ferah,Üsküdar, İstanbul,50,
6575,80,61,2+1,1,3,2,6-10 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,0,Danışman,Evet,285000,41.08374027,28.92890325,Akşemsettin,Eyüpsultan, İstanbul,0,
6576,140,,3+1,2,4,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Çatı Dubleksi,2000,İnşaat Geliştirici,Evet,265000,40.9894041,29.25080627,Osmangazi,Sancaktepe, İstanbul,10,Evet
6577,95,85,2+1,1,4,Bahçe katı,6-10 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,,0,,Evet,210000,41.09772334,28.8651993,Uğur Mumcu,Sultangazi, İstanbul,30,
6578,130,129,3+1,1,5,1,26-30 arası,Klima,Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,2300,Danışman,Evet,680000,40.9857587,29.08166027,Sahrayı Cedit,Kadıköy, İstanbul,100,Evet
6579,120,108,3+1,2,1,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,Danışman,Evet,1150000,41.00100038,28.86653795,Bahçelievler,Bahçelievler, İstanbul,60,
6580,140,100,3+1,1,4,4,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Çatı Dubleksi,0,,Hayır,410000,41.05747831,28.93930602,Merkez,Eyüpsultan, İstanbul,0,Evet
6581,150,148,3+1,2,4,3,2,Kalorifer (Doğalgaz),Eşyasız,Mülk Sahibi,Sıfır,Çatı Dubleksi,2000,Danışman,Evet,305000,40.98732421,28.67723641,Yakuplu,Beylikdüzü, İstanbul,40,
6582,90,80,1+1,1,10-20 arası,3,2,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,,0,,Evet,255000,41.01309159,28.68439347,Zafer,Esenyurt, İstanbul,0,
6583,145,130,3+1,2,5,2,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,Danışman,Evet,335000,41.01052752,29.12970013,Çakmak,Ümraniye, İstanbul,0,Evet
6584,65,60,1+1,1,4,Bahçe katı,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,,0,,Hayır,79000,41.03357318,28.84312391,Kirazlı,Bağcılar, İstanbul,0,
6585,95,,2+1,1,6,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,650,Danışman,Evet,165000,40.99447578,28.65985394,Beylikdüzü OSB,Beylikdüzü, İstanbul,25,Evet
6586,90,80,2+1,1,5,2,4,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,,2500,Danışman,Evet,600000,41.08638914,29.00238754,Emniyet Evleri,Kağıthane, İstanbul,0,
6587,100,85,2+1,1,9,Kot 3,0,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,Sıfır,,,Danışman,Evet,395000,41.0224165,29.22608636,Cumhuriyet,Çekmeköy, İstanbul,,
6588,85,80,2+1,1,5,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,,,0,Danışman,Hayır,285000,40.97942666,28.74655018,Gümüşpala,Avcılar, İstanbul,0,
6589,220,180,5+1,2,5,5,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,770000,40.99430261,28.845237,Şirinevler,Bahçelievler, İstanbul,0,Evet
6590,98,85,2+1,1,10-20 arası,9,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,,Evet,349999,41.01600554,29.07575573,Bulgurlu,Üsküdar, İstanbul,,Evet
6591,135,134,3+1,1,4,1,40 ve üzeri,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,,0,,Evet,650000,40.98169454,29.05838546,Göztepe,Kadıköy, İstanbul,40,
6592,150,140,4+1,2,3,3,31-35 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Dubleks,1500,Danışman,Evet,500000,41.00431758,28.92490976,Silivrikapı,Fatih, İstanbul,20,
6593,90,80,2+1,1,10-20 arası,10,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,455000,41.0095016,29.11306426,Site,Ümraniye, İstanbul,0,
6594,80,75,1+1,1,5,3,0,Yerden Isıtma,Eşyasız,Boş,Sıfır,,0,,Evet,295000,41.07931304,28.99511776,Gültepe,Kağıthane, İstanbul,0,
6595,85,75,2+1,1,4,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1500,Danışman,Evet,320000,41.037343,28.97270685,Sururi Mehmet Efendi,Beyoğlu, İstanbul,,
6596,135,125,3+1,2,3,3,0,Kombi (Doğalgaz),Sadece Mutfak,Boş,Sıfır,Ara Kat,1200,Danışman,Evet,435000,41.05843957,28.85854956,Oruçreis,Esenler, İstanbul,25,Evet
6597,115,100,2+1,1,4,Yüksek Giriş,1,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ters Dubleks,0,Danışman,Evet,137499,41.01935475,29.25076804,Yunus Emre,Sancaktepe, İstanbul,0,Evet
6598,100,90,2+1,1,3,2,21-25 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,Ara Kat,0,,Evet,300000,41.04891029,28.90150713,Muratpaşa,Bayrampaşa, İstanbul,0,
6599,178,150,3+1,2,10-20 arası,6,1,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,,,0,,Evet,999999,41.10686202,28.76677556,Kayabaşı,Başakşehir, İstanbul,0,
6600,110,105,2+1,1,5,3,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,Danışman,Evet,410000,41.09893547,28.86433057,Uğur Mumcu,Sultangazi, İstanbul,0,Evet
6601,85,75,2+1,1,,,,,,,,,,,Hayır,231000,41.05350885,29.25091155,Çatalmeşe,Çekmeköy, İstanbul,,
6602,90,85,2+1,1,,,,,,,,,,,Hayır,275000,41.08168499,28.92160992,Yeşilpınar,Eyüpsultan, İstanbul,,
6603,150,135,3+1,2,4,4,1,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Çatı Dubleksi,1100,Danışman,Evet,283000,40.98970525,29.25105859,Osmangazi,Sancaktepe, İstanbul,25,
6604,160,120,3+1,2,9,3,26-30 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,Ara Kat,0,,Hayır,575000,40.93011392,29.12513513,Feyzullah,Maltepe, İstanbul,120,
6605,60,57,2+1,1,3,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,170000,41.06836418,28.91136401,Bağlarbaşı,Gaziosmanpaşa, İstanbul,0,
6606,40,39,1+0 (Stüdyo),1,10-20 arası,6,0,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,Ara Kat,0,,Evet,130000,41.01218135,28.68704796,Zafer,Esenyurt, İstanbul,0,
6607,130,120,2+1,1,5,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,,Danışman,Evet,160000,41.03907299,28.69311683,Balıkyolu,Esenyurt, İstanbul,,
6608,70,65,1+1,1,5,Bahçe katı,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Bahçe Katı,1000,Danışman,Evet,185000,41.01662773,29.12580729,Çakmak,Ümraniye, İstanbul,40,
6609,110,100,2+1,1,9,Yüksek Giriş,16-20 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,,Danışman,Evet,240000,40.92820222,29.21378374,Uğur Mumcu,Kartal, İstanbul,50,
6610,115,95,2+1,1,4,3,31-35 arası,Merkezi Sistem,Sadece Mutfak,Mülk Sahibi,İkinci El,Ara Kat,300,Danışman,Evet,675000,40.96419862,29.0823907,Suadiye,Kadıköy, İstanbul,150,
6611,90,70,2+1,1,10-20 arası,11,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,,0,,Evet,370000,41.03579417,28.82739544,Güneşli,Bağcılar, İstanbul,0,
6612,130,120,3+1,2,8,8,26-30 arası,Kombi (Doğalgaz),Eşyasız,Boş,,En Üst Kat,0,,Evet,980000,41.057,28.98675445,Merkez,Şişli, İstanbul,0,
6613,90,80,2+1,1,5,4,26-30 arası,Merkezi Sistem,,Mülk Sahibi,İkinci El,Ara Kat,2500,Danışman,Evet,760000,40.98469843,29.03770365,Zühtüpaşa,Kadıköy, İstanbul,150,
6614,450,449,6+2,2,3,3,16-20 arası,Kombi (Doğalgaz),,,İkinci El,Dubleks,,,Hayır,2750000,,,Şenlikköy,Bakırköy, İstanbul,,
6615,95,90,2+1,1,3,1,4,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,,Danışman,Evet,285000,41.10935223,28.858336,İsmetpaşa,Sultangazi, İstanbul,,Evet
6616,100,90,2+1,1,4,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Evet,134000,41.00856779,28.66520384,Güzelyurt,Esenyurt, İstanbul,,Evet
6617,220,219,3+2,2,5,5,2,Klima,Sadece Beyaz Eşya,Mülk Sahibi,,Çatı Dubleksi,0,,Evet,1195000,40.98609013,28.78139431,Cennet,Küçükçekmece, İstanbul,100,
6618,90,70,2+1,1,20 ve üzeri,7,0,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,,Ara Kat,2500,Danışman,Evet,690000,40.96483022,29.0981822,Kozyatağı,Kadıköy, İstanbul,310,
6619,125,110,2+1,1,4,3,11-15 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,Ara Kat,0,Danışman,Hayır,300000,41.1036226,28.86855556,Uğur Mumcu,Sultangazi, İstanbul,0,
6620,145,140,3+1,2,4,3,0,Yerden Isıtma,Eşyasız,Boş,Sıfır,,0,,Evet,550000,41.07841176,28.99736803,Telsizler,Kağıthane, İstanbul,0,
6621,103,68,1+1,1,10-20 arası,6,0,Merkezi Sistem,Eşyasız,Boş,İkinci El,Ara Kat,3000,Danışman,Evet,845000,40.99086405,28.82841468,Ataköy 7-8-9-10. Kısım,Bakırköy, İstanbul,0,
6622,140,140,3+1,1,20 ve üzeri,2,31-35 arası,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,,0,,Hayır,550000,41.17633884,28.8887878,Göktürk Merkez,Eyüpsultan, İstanbul,0,
6623,151,150,4+1,2,4,Yüksek Giriş,3,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ters Dubleks,1850,Danışman,Evet,425000,40.93670624,29.13097925,Altayçeşme,Maltepe, İstanbul,50,
6624,80,70,1+1,2,5,1,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,Danışman,Evet,195000,41.03124749,29.22396322,Sultançiftliği,Çekmeköy, İstanbul,0,
6625,130,120,3+1,2,5,3,0,Yerden Isıtma,Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Evet,830000,41.06334974,28.90160598,Hürriyet,Gaziosmanpaşa, İstanbul,,
6626,90,80,2+1,1,4,1,21-25 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,1000,Danışman,Evet,240000,41.00156528,28.83263143,Fevzi Çakmak,Bahçelievler, İstanbul,,
6627,89,79,2+1,1,5,Yüksek Giriş,4,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,,,0,,Evet,275000,41.00359432,28.82669449,Çobançeşme,Bahçelievler, İstanbul,90,
6628,90,75,2+1,1,5,2,4,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,1700,Danışman,Evet,395000,40.90396308,29.16944176,Atalar,Kartal, İstanbul,50,
6629,100,95,2+1,1,5,Çatı Katı,11-15 arası,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Teras Katı,,Danışman,Hayır,175000,41.10013635,28.86026168,Sultançiftliği,Sultangazi, İstanbul,,Evet
6630,80,75,2+1,1,5,3,0,Kombi (Doğalgaz),,Boş,,,,,Evet,245000,41.05990706,28.91911887,Sarıgöl,Gaziosmanpaşa, İstanbul,,
6631,270,250,5+2,3,3,3,5,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,Sıfır,Çatı Dubleksi,0,,Evet,1050000,40.98573229,28.89890972,Nuripaşa,Zeytinburnu, İstanbul,0,
6632,163,140,3+1,2,10,8,0,Klima,Eşyasız,Boş,,Ara Kat,0,,Evet,2850000,40.97579548,29.04299408,Fenerbahçe,Kadıköy, İstanbul,0,
6633,105,95,2+1,1,5,1,16-20 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,1150,Danışman,Evet,238000,41.10141354,28.89864299,75. Yıl,Sultangazi, İstanbul,,Evet
6634,135,120,3+1,1,5,3,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1350,Danışman,Evet,249500,41.01626347,28.6346773,Cumhuriyet,Beylikdüzü, İstanbul,15,Evet
6635,90,85,2+1,1,4,Kot 2,21-25 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,,Danışman,Evet,355000,,,Yeşiltepe,Zeytinburnu, İstanbul,,
6636,95,90,2+1,2,4,Çatı Katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,,900,Danışman,Evet,240000,40.98518792,28.64303581,Kavaklı,Beylikdüzü, İstanbul,,
6637,90,80,2+1,1,4,2,11-15 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,0,,Hayır,182000,40.97541412,29.26393658,Adil,Sultanbeyli, İstanbul,15,Evet
6638,150,125,3+1,1,10-20 arası,13,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Dubleks,0,,Evet,345000,40.90318616,29.23930997,Hürriyet,Kartal, İstanbul,50,
6639,105,90,2+1,1,5,Yüksek Giriş,3,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,,0,,Evet,292000,40.8542541,29.2967597,Aydıntepe,Tuzla, İstanbul,0,
6640,90,1,2+1,1,4,2,1,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,850,Danışman,Evet,245000,40.95817897,29.21520957,Fatih,Sancaktepe, İstanbul,50,
6641,125,115,2+1,2,4,Yüksek Giriş,2,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ters Dubleks,850,Danışman,Evet,175000,41.00691035,29.22177371,Kemal Türkler,Sancaktepe, İstanbul,25,
6642,110,85,2+1,2,10,3,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,Danışman,Evet,435000,41.00102663,29.13809047,Tatlısu,Ümraniye, İstanbul,260,
6643,95,90,2+1,1,5,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,,0,,Evet,200000,41.18589798,28.75586638,Anadolu,Arnavutköy, İstanbul,0,
6644,200,150,3+1,2,5,Giriş Katı,11-15 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,,0,,Evet,355000,41.07518675,28.6677462,Bahçeşehir 2. Kısım,Başakşehir, İstanbul,70,
6645,74,68,1+1,1,10-20 arası,16,3,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,İkinci El,Ara Kat,,,Evet,410000,41.0510877,28.7654686,Atakent,Küçükçekmece, İstanbul,,
6646,85,65,2+1,1,5,4,2,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,İnşaat Geliştirici,Evet,310000,41.08426347,28.9849928,Merkez,Kağıthane, İstanbul,25,
6647,75,65,2+1,1,5,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1300,Danışman,Evet,229000,41.00192614,28.84224111,Şirinevler,Bahçelievler, İstanbul,,
6648,70,65,1+1,1,5,2,2,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,1650,Danışman,Evet,350000,40.9937109,28.85138148,Şirinevler,Bahçelievler, İstanbul,30,
6649,90,75,2+1,1,5,Kot 3,2,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Evet,300000,41.01819741,29.22681659,Aydınlar,Çekmeköy, İstanbul,,
6650,190,,4+2,2,4,4,5,Kombi (Doğalgaz),,Mülk Sahibi,,Çatı Dubleksi,0,,Evet,570000,41.02091654,28.84812938,Kocasinan Merkez,Bahçelievler, İstanbul,0,
6651,105,95,2+1,1,4,Yüksek Giriş,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,,0,,Hayır,395000,40.94662967,29.1088618,Küçükyalı,Maltepe, İstanbul,0,
6652,110,100,2+1,2,4,4,4,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Çatı Dubleksi,0,Danışman,Evet,460000,40.99542592,28.91153812,Telsiz,Zeytinburnu, İstanbul,0,
6653,175,137,3+1,2,10-20 arası,Bahçe katı,6-10 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,,0,,Evet,700000,40.92047761,29.1841944,Soğanlık Yeni,Kartal, İstanbul,426,
6654,80,79,2+1,1,7,Kot 3,0,,Eşyasız,Boş,Sıfır,Bahçe Katı,0,Danışman,Evet,205000,41.05698569,28.92147124,Sarıgöl,Gaziosmanpaşa, İstanbul,0,
6655,100,85,2+1,1,3,3,4,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,En Üst Kat,0,,Evet,235000,40.86913051,29.3318387,Aydınlı,Tuzla, İstanbul,0,
6656,75,70,1+1,1,4,Yüksek Giriş,16-20 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Giriş Kat,1100,Danışman,Hayır,215000,41.08975657,28.94883196,Güzeltepe,Eyüpsultan, İstanbul,20,
6657,100,90,2+1,1,5,Bahçe katı,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Bahçe Katı,1500,Danışman,Evet,140000,41.00456098,29.20096549,Emek,Sancaktepe, İstanbul,0,
6658,140,139,3+1,1,5,3,4,Klima,Eşyasız,Mülk Sahibi,,Ara Kat,0,,Evet,590000,40.89022133,29.18440497,Yukarı,Kartal, İstanbul,0,
6659,90,85,2+1,1,4,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1700,Danışman,Evet,340000,41.05161968,28.92070781,Rami Yeni,Eyüpsultan, İstanbul,25,
6660,75,74,2+1,1,4,Yüksek Giriş,0,Kalorifer (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,1100,Danışman,Evet,240000,41.00279856,29.08443689,Esatpaşa,Ataşehir, İstanbul,0,
6661,90,80,2+1,2,6,2,1,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,249000,40.9895698,29.23270737,Abdurrahmangazi,Sancaktepe, İstanbul,0,
6662,140,110,2+1,2,5,2,1,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,,Evet,315000,40.99096181,28.61320801,Gürpınar,Beylikdüzü, İstanbul,,
6663,320,270,4+2,3,4,3,0,Kombi (Doğalgaz),Sadece Beyaz Eşya,Boş,Sıfır,Çatı Dubleksi,0,Danışman,Hayır,16000000,40.977712,28.82354759,Yeşilköy,Bakırköy, İstanbul,500,
6664,208,159,4+1,2,10-20 arası,6,1,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,,Ara Kat,0,,Hayır,1050000,41.11807059,28.77359784,Kayabaşı,Başakşehir, İstanbul,540,
6665,100,90,2+1,1,5,2,0,Klima,Eşyasız,Boş,,Ara Kat,0,Danışman,Evet,185000,40.99927531,28.66404478,Beylikdüzü OSB,Beylikdüzü, İstanbul,20,Evet
6666,100,95,2+1,1,4,Giriş Katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,0,İnşaat Geliştirici,Evet,210000,41.00759625,28.66640547,Güzelyurt,Esenyurt, İstanbul,0,Evet
